article,software,original_cite,cite_idx,cite_type,citation_id
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1283974,Mindboggle,"[63,85]",2,Direct,85
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1388242,WPS,[63],1,Website,63
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2134966,DS ViewerPro,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2500018,ImageJ,[20],1,Website,20
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2953514,Mplus,[43],1,Manual,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120364,CrystalClear,"Rigaku, 2005",1,Direct,Rigaku_2005
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3237560,SAS,[70],1,Manual,70
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3283723,Arlequin,[72],1,Direct,72
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3293852,Praat,[39],1,Direct,39
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3314648,OpenEpi,[25],1,Direct,25
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338667,PCORD,[19],1,Direct,19
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338667,Geneious,[26],1,Direct,26
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338667,EstimateS,[14],1,Direct,14
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406004,ADAPT,[44],1,Manual,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3445547,web service,[44],1,Website,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485250,PAUP,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485250,TRACER,[54],1,Direct,54
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485250,FSTAT,[55],1,Direct,55
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3507871,STATA,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3536769,MATLAB,[23],1,Direct,23
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3541387,SPSS Statistics,[37],1,Direct,37
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3561195,SAS,[45],1,Direct,45
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3561353,lme4,[72],1,Direct,72
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,Tracer,[59],1,Direct,59
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,Fstat,[63],1,Direct,63
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,PAUP*,[45],1,Direct,45
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,Fig Tree,[60],1,Direct,60
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3591425,STATA,[28],1,Direct,28
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3660607,SAS,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3660607,SUDAAN,[31],1,Direct,31
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661540,SPSS,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699512,R,[31],1,Manual,31
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762848,Stata,[52],1,Direct,52
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790745,MAXQDA,[37],1,Direct,37
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3798718,R,[50],1,Direct,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3885438,R,[20],1,Website,20
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3885597,geo-spatial modeling environment,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3903501,R,[44],1,Manual,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3906048,get_totals,[77],1,Direct,77
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3914947,R,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3921218,STATA,[18],1,Direct,18
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3944928,EstimateS,[11],1,Direct,11
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3944928,R,[10],1,Manual,10
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3968891,R,[9],1,Manual,9
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3977835,Hawth's analysis tools for ArcGis,[46],1,Direct,46
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4079667,lmer,[60],1,Direct,60
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4091876,R,[34],1,Manual,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103818,Praat,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4117474,Stata,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4146461,R,[43],1,Manual,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4161331,runmlwin,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4168004,Stata,[16],1,Direct,16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169449,Patch Analyst,[39],1,Direct,39
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190082,Software Package for Statistical Analysis,[24],1,Direct,24
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4205118,MLwiN,[35],1,Direct,35
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4319918,Habit 2000,[35],1,Direct,35
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4319918,VPixx,[34],1,Direct,34
