"sw_identity","spelling","article","ver_string","dev_string","cit_string","url_string","ext_string","rel_string","lic_string","abb_string","alt_string"
"http://webs.uvigo.es/acraaj/GenomePop.htm","GenomePop","http://data.gesis.org/somesci/PMC2386491","1.0",,,"http://webs.uvigo.es/acraaj/GenomePop.htm",,,"GNU GPL",,
"http://coxpress.sf.net","coXpress","http://data.gesis.org/somesci/PMC1660556",,,,"http://coxpress.sf.net",,,"GNU GPL",,
"https://sites.google.com/site/neuromapsoftware","NeuroMap","http://data.gesis.org/somesci/PMC3034234",,,,"http://sites.google.com/site/neuromapsoftware",,,"GNU GPL",,
"http://www.bionut.ki.se/users/pesv/podbat","Podbat","http://data.gesis.org/somesci/PMC3161910",,,,"www.podbat.org",,,"GNU LGPL",,
"http://mbb-team.github.io/VBA-toolbox/","VBA","http://data.gesis.org/somesci/PMC3900378",,,,"http://code.google.com/p/mbb-vb-toolbox/wiki/InstallingTheToolbox",,,"GNU General Public Licence",,
"https://www.l3harrisgeospatial.com/Software-Technology/ENVI","ENVI","http://data.gesis.org/somesci/PMC3885597",,"ITT",,,,"2011",,,"Environment for Visualizing Images"
"http://csg.sph.umich.edu/abecasis/mach","Mach","http://data.gesis.org/somesci/PMC2987837","1.0",,"[16]",,,,,,"Markov Chain Haplotyping"
"http://www.lillo.org.ar/phylogeny/VIP","VIP","http://data.gesis.org/somesci/PMC3485250",,,"[63]",,,,,,"Vicariance Inference Program"
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3922869","19",,,,,,,,"Statistical Package for Social Sciences"
"http://bio.ifom-firc.it/NTFootPrinter","NemaFootPrinter","http://data.gesis.org/somesci/PMC1866385",,,,,,,,,"Nematode Transcription Factor Scan Through Philogenetic Footprinting"
"https://github.com/arq5x/gemini","GEMINI","http://data.gesis.org/somesci/PMC3715403",,,,,,,,,"GEnome MINIng"
"https://www.wikidata.org/wiki/Q1129895","Java Advanced Imaging","http://data.gesis.org/somesci/PMC2500018",,,,"http://java.sun.com/javase/technologies/desktop/media/jai/",,,,"JAI",
"https://www.wikidata.org/wiki/Q3737246","FMRIB Software Library","http://data.gesis.org/somesci/PMC3515589",,,,"www.fmrib.ox.ac.uk",,,,"FSL",
"https://www.wikidata.org/wiki/Q2383032","Chemistry Development Kit","http://data.gesis.org/somesci/PMC3280956","1.0.2",,"[23], [24]",,,,,"CDK",
"http://www.spatialecology.com/gme","geo-spatial modeling environment","http://data.gesis.org/somesci/PMC3885597","0.5.8 beta",,"[41]",,,,,"GME",
"https://www.mediacy.com/imageproplus","Image-Pro Plus","http://data.gesis.org/somesci/PMC2790482","5.1","Media Cybernetics",,,,,,"IPP",
"https://www.wikidata.org/wiki/Q181596","Statistical Package for the Social Sciences","http://data.gesis.org/somesci/PMC4014506","19.0","SPSS",,,,,,"SPSS",
"https://www.wikidata.org/wiki/Q181596","Statistical Package for Social Sciences","http://data.gesis.org/somesci/PMC2292255","11.0",,,,,,,"SPSS",
"https://www.wikidata.org/wiki/Q181596","Statistical Package for the Social Sciences","http://data.gesis.org/somesci/PMC3394799","18",,,,,,,"SPSS",
"https://www.wikidata.org/wiki/Q181596","Statistical Package for the Social Sciences","http://data.gesis.org/somesci/PMC3394799","18",,,,,,,"PASW",
"https://www.wikidata.org/wiki/Q181596","Statistical Package for the Social Science","http://data.gesis.org/somesci/PMC3544765","17.0",,,,,,,"SPSS",
"http://www.abcc.ncifcrf.gov/wps/wps_index.php","WholePathwayScope","http://data.gesis.org/somesci/PMC1388242",,,,,,,,"WPS",
"https://digitalinsights.qiagen.com/products-overview/discovery-insights-portfolio/analysis-and-visualization/qiagen-ipa","Ingenuity Pathway Analysis","http://data.gesis.org/somesci/PMC3568080",,,,,,,,"IPA",
"https://github.com/Chaste/Chaste","Cancer, Heart And Soft Tissue Environment","http://data.gesis.org/somesci/PMC3597547",,,,,,,,"Chaste",
"https://www.wikidata.org/wiki/Q181596","Statistical Product and Service Solutions","http://data.gesis.org/somesci/PMC3759436",,,,,,,,"SPSS",
"https://www.wikidata.org/wiki/Q1204300","STATA","http://data.gesis.org/somesci/PMC2924608","10.1","StataCorp",,,"SE",,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC3391232","11.0","Stata Corporation",,,"SE",,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC3728110","12.1","StataCorp",,,"SE",,,,
"https://www.wikidata.org/wiki/Q41793788","BrainVoyager","http://data.gesis.org/somesci/PMC3818257",,"Brain Innovation",,,"QX",,,,
"https://www.wikidata.org/wiki/Q181596","PASW Statistics","http://data.gesis.org/somesci/PMC3338832","18","SPSS, Inc.",,"www.spss.com",,"2009",,,
"https://www.wikidata.org/wiki/Q181596","PASW Statistics","http://data.gesis.org/somesci/PMC3338832","18.0.0","SPSS, Inc.",,"www.spss.com",,"2009",,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3416787","15.0.1","SPSS Inc.",,,,"2006",,,
"https://www.wikidata.org/wiki/Q181596","PASW Statistics","http://data.gesis.org/somesci/PMC3542333","18","SPSS Inc.",,,,"2009",,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3676365","20","IBM",,,,"2011",,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3676365","20","SPSS Inc",,,,"2011",,,
"https://www.wikidata.org/wiki/Q2003932","SAS","http://data.gesis.org/somesci/PMC3758314","9.2","SAS Institute Inc.",,,,"2009",,,
"https://www.wikidata.org/wiki/Q181596","PASW Statistics","http://data.gesis.org/somesci/PMC4076331","18","SPSS Inc.",,,,"2009",,,
"https://www.wikidata.org/wiki/Q1471909","Minitab","http://data.gesis.org/somesci/PMC4093161","16.1","Minitab Inc.",,,,"2010",,,
